lat,lon,speed,heading,fix_quality
13.6502493333333,100.492981833333,0.538726,354.6,4
13.650256,100.492981666667,0.61246,357.29,4
13.6502638333333,100.4929815,0.659002,1.82,4
13.6502721666667,100.492982,0.633816,5.53,4
13.6502805,100.492982333333,0.659888,5.41,4
13.6502853333333,100.492983166667,0.699094,1.94,4
13.6502898333333,100.492983333333,0.691898,356.93,4
13.6502985,100.492984,0.675964,1.15,4
13.6503071666667,100.492984,0.651806,2.13,4
13.6503156666667,100.492983833333,0.687786,359.82,4
13.6503243333333,100.492984,0.655028,0.55,4
13.650329,100.492983833333,0.655262,0.45,4
13.6503336666667,100.492984,0.657176,358.38,4
13.650339,100.492984333333,0.656148,358.27,4
13.650344,100.492984333333,0.654458,356.06,4
13.650349,100.492984,0.708576,358.09,4
13.6503545,100.492984,0.682362,1.6,4
13.6503596666667,100.492984166667,0.703436,1.66,4
13.6503651666667,100.492984166667,0.76797,1.23,4
13.6503701666667,100.492984166667,0.727364,0.64,4
13.6503748333333,100.492984333333,0.75923,2.81,4
13.6503796666667,100.492984833333,0.708346,4.55,4
13.6503845,100.492984833333,0.68082,3.86,4
13.6503895,100.492985166667,0.750494,2.7,4
13.6503945,100.492985333333,0.734046,3.32,4
13.6503993333333,100.4929855,0.766942,3.2,4
13.6504043333333,100.492985666667,0.76026,4.66,4
13.6504093333333,100.492985833333,0.700352,359.96,4
13.6504145,100.492986,0.74227,1.55,4
13.6504195,100.492986,0.764372,0.84,4
13.6504246666667,100.492986166667,0.716056,359.53,4
13.6504293333333,100.492986166667,0.748952,358,4
13.6504343333333,100.492986,0.762316,358.78,4
13.6504395,100.492986,0.740728,358.66,4
13.6504443333333,100.492985666667,0.76797,358.84,4
13.6504493333333,100.492985666667,0.73199,358.51,4
13.6504543333333,100.4929855,0.754606,356.35,4
13.6504595,100.492985333333,0.67568,0.35,4
13.6504643333333,100.492985166667,0.753578,356.14,4
13.6504693333333,100.492985,0.70395,355.65,4
13.6504743333333,100.492984666667,0.74998,1.15,4
13.6504795,100.492984666667,0.679278,357.15,4
13.6504846666667,100.492984666667,0.667456,0.88,4
13.6504901666667,100.4929845,0.733762,1.78,4
13.650496,100.4929845,0.739416,0.78,4
13.6505015,100.492984666667,0.682362,359.16,4
13.6505066666667,100.492984833333,0.691614,5.13,4
13.650512,100.492985,0.6911,1.75,4
13.6505175,100.492985166667,0.731706,359.2,4
13.6505228333333,100.4929855,0.700866,0.19,4
13.6505283333333,100.492985666667,0.786474,3.47,4
13.6505336666667,100.492985666667,0.790072,2.82,4
13.6505391666667,100.492986,0.706006,359.98,4
13.6505443333333,100.492986166667,0.782362,3.3,4
13.6505496666667,100.492986333333,0.785446,4.89,4
13.650555,100.4929865,0.771568,359.85,4
13.6505603333333,100.492986666667,0.73222,1.83,4
13.6505663333333,100.492986833333,0.75278,0.98,4
13.6505716666667,100.492986666667,0.78853,357.16,4
13.6505773333333,100.4929865,0.70652,0.77,4
13.6505828333333,100.492986333333,0.701894,357.9,4
13.6505881666667,100.492985833333,0.693156,356.94,4
13.6505936666667,100.492985666667,0.708576,355.6,4
13.6505993333333,100.492985166667,0.72194,355.32,4
13.6506043333333,100.492984666667,0.74484,356.67,4
13.6506093333333,100.4929845,0.69367,358.78,4
13.6506148333333,100.492984166667,0.770026,358.68,4
13.6506198333333,100.492984166667,0.760774,358.6,4
13.650625,100.492984333333,0.767456,0.19,4
13.6506301666667,100.4929845,0.76797,4.21,4
13.650635,100.492984666667,0.711944,1.31,4
13.6506396666667,100.492985,0.719654,3.25,4
13.6506443333333,100.492985,0.743298,2.67,4
13.6506491666667,100.4929855,0.71657,3,4
13.6506538333333,100.492985833333,0.7397,4.91,4
13.650659,100.492986166667,0.746896,4.56,4
13.6506638333333,100.492986333333,0.776194,2.89,4
13.650669,100.492986666667,0.783904,3.27,4
13.6506743333333,100.492987,0.702922,1.28,4
13.6506793333333,100.492987,0.743812,358.58,4
13.6506843333333,100.492987333333,0.753578,359.59,4
13.6506893333333,100.492987333333,0.768484,358.19,4
13.6506948333333,100.492987166667,0.763858,358.96,4
13.6506996666667,100.492987,0.758204,358.36,4
13.6507051666667,100.492986833333,0.70138,358.12,4
13.6507105,100.4929865,0.725024,358.25,4
13.650716,100.492986166667,0.692128,354,4
13.6507213333333,100.492986,0.695726,0.03,4
13.6507266666667,100.492985666667,0.700866,357.76,4
13.6507316666667,100.4929855,0.719654,355.33,4
13.6507366666667,100.492985333333,0.78082,1.01,4
13.6507415,100.492985166667,0.75255,357.86,4
13.6507463333333,100.492985166667,0.712458,0.68,4
13.650751,100.492985166667,0.712972,359.97,4
13.6507555,100.492985333333,0.696524,359.53,4
13.6507603333333,100.492985666667,0.715542,1.91,4
13.650769,100.492986166667,0.70115,4.01,4
13.6507778333333,100.492987,0.665684,5.12,4
13.6507868333333,100.492987333333,0.725822,2.96,4
13.6507913333333,100.4929875,0.682132,3.33,4
13.6508003333333,100.492987666667,0.701664,0.16,4
13.6508048333333,100.492987666667,0.719654,0.72,4
13.6508095,100.492987666667,0.713486,0.81,4
13.6508143333333,100.4929875,0.736102,357.56,4
13.6508191666667,100.492987333333,0.708346,358.83,4
13.6508238333333,100.492987166667,0.699094,357.81,4
13.6508283333333,100.492987,0.737644,358.77,4
13.6508333333333,100.492986666667,0.758204,0.47,4
13.650838,100.492986833333,0.700122,356.96,4
13.6508428333333,100.492986666667,0.756662,359.05,4
13.6508478333333,100.492986666667,0.736102,1.68,4
13.6508526666667,100.492986666667,0.739186,0.51,4
13.6508576666667,100.492986666667,0.744326,358.23,4
13.6508625,100.492986666667,0.723766,359.03,4
13.6508673333333,100.4929865,0.72942,0.54,4
13.650872,100.4929865,0.694982,359.83,4
13.6508766666667,100.492986666667,0.708346,359.45,4
13.6508816666667,100.492986666667,0.717084,357.69,4
13.6508861666667,100.492986666667,0.695496,358.91,4
13.6508906666667,100.492986666667,0.72428,354.15,4
13.6508956666667,100.4929865,0.758718,1.72,4
13.6509005,100.4929865,0.720682,355.07,4
13.6509055,100.492986333333,0.74998,358.37,4
13.6509101666667,100.492986166667,0.740214,356.4,4
13.6509153333333,100.492986,0.764886,357.76,4
13.6509201666667,100.492986,0.709374,357.82,4
13.6509248333333,100.492985833333,0.738158,359.89,4
13.6509295,100.492985833333,0.785216,358.95,4
13.6509381666667,100.492985333333,0.708346,1.39,4
13.6509426666667,100.492985333333,0.665684,3.6,4
13.6509516666667,100.492985333333,0.723252,2.62,4
13.6509603333333,100.4929855,0.650778,2.9,4
13.6509693333333,100.492986,0.671338,3.93,4
13.6509738333333,100.492986333333,0.709374,3.45,4
13.6509783333333,100.4929865,0.687272,4.88,4
13.6509828333333,100.492986833333,0.705262,3.31,4
13.6509875,100.492987,0.739186,5.5,4
13.650992,100.492987333333,0.690356,6.14,4
13.6509965,100.492987333333,0.69858,1.16,4
13.651001,100.4929875,0.682132,0,4
13.6510055,100.492987666667,0.674936,2.36,4
13.6510101666667,100.492987833333,0.745354,1.75,4
13.651015,100.492987833333,0.732504,1.72,4
13.6510198333333,100.492987666667,0.754092,0.62,4
13.6510246666667,100.492987666667,0.750494,358.05,4
13.6510296666667,100.4929875,0.728906,2.41,4
13.6510348333333,100.4929875,0.777736,352.88,4
13.6510398333333,100.492987333333,0.741242,357.37,4
13.651045,100.492987,0.75512,356.91,4
13.6510501666667,100.492987,0.741242,357.43,4
13.6510551666667,100.4929865,0.7654,354.8,4
13.6510603333333,100.492986166667,0.740214,359.2,4
13.6510653333333,100.492986,0.774652,355.81,4
13.6510708333333,100.492985666667,0.731706,356.32,4
13.6510761666667,100.492985333333,0.688016,357.04,4
13.6510816666667,100.492985166667,0.684932,359.78,4
13.6510866666667,100.492985,0.653578,359.66,4
13.6510915,100.492985,0.65769,1,4
13.6510965,100.492985333333,0.647924,1.65,4
13.6511013333333,100.492985333333,0.620682,3.4,4
13.6511063333333,100.492985666667,0.657465,4.87,4
13.6511115,100.492986,0.69881,4.05,4
13.6511168333333,100.492986333333,0.713202,3.43,4
13.6511223333333,100.492986666667,0.704978,1.89,4
13.651128,100.492987,0.749696,3.31,4
13.6511335,100.492987333333,0.712174,3.23,4
13.6511391666667,100.492987666667,0.740444,2.83,4
13.6511448333333,100.492987666667,0.708062,0.24,4
13.6511505,100.492987833333,0.7682,358.64,4
13.6511561666667,100.492988,0.712688,0.95,4
13.6511615,100.492987833333,0.674138,359.03,4
13.651167,100.492987666667,0.70395,359.92,4
13.6511725,100.4929875,0.719884,354.87,4
13.651178,100.492987333333,0.794698,357.02,4
13.6511833333333,100.492986833333,0.71166,353.46,4
13.651189,100.4929865,0.736332,2.29,4
13.6511946666667,100.492986166667,0.744556,358.1,4
13.6512003333333,100.492985833333,0.720398,356.25,4
13.6512056666667,100.4929855,0.693156,359.26,4
13.6512111666667,100.492985333333,0.71423,357.61,4
13.6512166666667,100.492985166667,0.70138,358.33,4
13.651222,100.492984833333,0.706006,356.75,4
13.6512275,100.492984833333,0.717828,358.79,4
13.6512331666667,100.492985,0.728622,2.99,4
13.6512385,100.492985166667,0.706006,3.87,4
13.651244,100.492985333333,0.707034,4.05,4
13.6512491666667,100.492986,0.665914,3.7,4
13.6512543333333,100.492986333333,0.678764,4.58,4
