x,y,speed,heading,fix_quality,steering_angle
661598.253065,1509920.900240,0.000000,5.010000,4,-1.100000
661598.253065,1509920.900240,0.000000,5.010000,4,-2.200000
661598.253065,1509920.900240,0.000000,5.010000,4,-3.300000
661598.253065,1509920.900240,0.000000,5.010000,4,-4.400333
661598.253065,1509920.900240,0.000000,5.010000,4,-5.500333
661598.253065,1509920.900240,0.000000,5.010000,4,-6.600781
661598.253065,1509920.900240,0.000000,5.010000,4,-7.700781
661598.253065,1509920.900240,0.000000,5.010000,4,-8.806615
661598.253065,1509920.900240,0.000000,5.010000,4,-9.906615
661598.253065,1509920.900240,0.000000,5.010000,4,-11.009646
661598.253065,1509920.900240,0.000000,5.010000,4,-12.109646
661598.253065,1509920.900240,0.000000,5.010000,4,-13.214403
661598.253065,1509920.900240,0.000000,5.010000,4,-14.316448
661598.253065,1509920.900240,0.000000,5.010000,4,-15.416448
661598.253065,1509920.900240,0.000000,5.010000,4,-16.516448
661598.253065,1509920.900240,0.000000,5.010000,4,-17.538862
661598.253065,1509920.900240,0.000000,5.010000,4,-18.397690
661598.253065,1509920.900240,0.000000,5.010000,4,-19.119105
661598.253065,1509920.900240,0.000000,5.010000,4,-19.725094
661598.253065,1509920.900240,0.000000,5.010000,4,-20.234124
661598.253065,1509920.900240,0.000000,5.010000,4,-20.661710
661598.253065,1509920.900240,0.000000,5.010000,4,-21.020882
661598.253065,1509920.900240,0.000000,5.010000,4,-21.322587
661598.253065,1509920.900240,0.000000,5.010000,4,-21.576018
661598.253065,1509920.900240,0.000000,5.010000,4,-21.788901
661598.253065,1509920.900240,0.000000,5.010000,4,-21.967722
661598.253065,1509920.900240,0.000000,5.010000,4,-22.117932
661598.253065,1509920.900240,0.000000,5.010000,4,-22.244109
661598.253065,1509920.900240,0.000000,5.010000,4,-22.350097
661598.253065,1509920.900240,0.000000,5.010000,4,-22.439127
661598.253065,1509920.900240,0.000000,5.010000,4,-22.513912
661598.253065,1509920.900240,0.000000,5.010000,4,-22.576732
661598.253065,1509920.900240,0.000000,5.010000,4,-22.629501
661598.253065,1509920.900240,0.000000,5.010000,4,-22.673826
661598.253065,1509920.900240,0.000000,5.010000,4,-22.711060
661598.253065,1509920.900240,0.000000,5.010000,4,-22.742336
661598.253065,1509920.900240,0.000000,5.010000,4,-22.768608
661598.253065,1509920.900240,0.000000,5.010000,4,-22.790676
661598.253065,1509920.900240,0.000000,5.010000,4,-22.809213
661598.253065,1509920.900240,0.000000,5.010000,4,-22.824785
661598.253065,1509920.900240,0.130000,5.010000,4,-22.837865
661598.253065,1509920.900240,0.130000,5.010000,4,-22.848852
661598.253065,1509920.900240,0.130000,5.010000,4,-22.858081
661598.253065,1509920.900240,0.130000,5.010000,4,-22.865834
661598.253065,1509920.900240,0.130000,5.010000,4,-22.872346
661598.253065,1509920.900240,0.130000,5.010000,4,-22.877816
661598.253065,1509920.900240,0.130000,5.010000,4,-22.882411
661598.253065,1509920.900240,0.130000,5.010000,4,-22.886271
661598.253065,1509920.900240,0.130000,5.010000,4,-22.889513
661598.253065,1509920.900240,0.130000,5.010000,4,-22.892237
661598.253065,1509920.900240,0.130000,5.010000,4,-22.894525
661598.253065,1509920.900240,0.130000,5.010000,4,-22.896446
661598.253065,1509920.900240,0.130000,5.010000,4,-22.898060
661598.253065,1509920.900240,0.130000,5.010000,4,-22.899416
661598.253065,1509920.900240,0.130000,5.010000,4,-22.900555
661598.253065,1509920.900240,0.130000,5.010000,4,-22.901512
661598.253065,1509920.900240,0.130000,5.010000,4,-22.902316
661598.253065,1509920.900240,0.130000,5.010000,4,-22.902991
661598.253065,1509920.900240,0.130000,5.010000,4,-22.903558
661598.253065,1509920.900240,0.130000,5.010000,4,-22.904034
661598.271096,1509920.900351,0.320000,2.940000,4,-22.703738
661598.271096,1509920.900351,0.320000,2.940000,4,-22.535489
661598.271096,1509920.900351,0.320000,2.940000,4,-22.394160
661598.271096,1509920.900351,0.320000,2.940000,4,-22.275444
661598.271096,1509920.900351,0.320000,2.940000,4,-22.175722
661598.271096,1509920.900351,0.320000,2.940000,4,-22.091956
661598.271096,1509920.900351,0.320000,2.940000,4,-22.021592
661598.271096,1509920.900351,0.320000,2.940000,4,-21.962487
661598.271096,1509920.900351,0.320000,2.940000,4,-21.912838
661598.271096,1509920.900351,0.320000,2.940000,4,-21.871133
661598.271096,1509920.900351,0.320000,2.940000,4,-21.836101
661598.271096,1509920.900351,0.320000,2.940000,4,-21.806675
661598.271096,1509920.900351,0.320000,2.940000,4,-21.781956
661598.271096,1509920.900351,0.320000,2.940000,4,-21.761192
661598.271096,1509920.900351,0.320000,2.940000,4,-21.743751
661598.271096,1509920.900351,0.320000,2.940000,4,-21.729100
661598.271096,1509920.900351,0.320000,2.940000,4,-21.716793
661598.271096,1509920.900351,0.320000,2.940000,4,-21.706456
661598.271096,1509920.900351,0.320000,2.940000,4,-21.697772
661598.271096,1509920.900351,0.320000,2.940000,4,-21.690478
661598.415227,1509920.919676,0.490000,1.510000,4,-21.765559
661598.415227,1509920.919676,0.490000,1.510000,4,-21.828628
661598.415227,1509920.919676,0.490000,1.510000,4,-21.881605
661598.415227,1509920.919676,0.490000,1.510000,4,-21.926106
661598.415227,1509920.919676,0.490000,1.510000,4,-21.963487
661598.415227,1509920.919676,0.490000,1.510000,4,-21.994887
661598.415227,1509920.919676,0.490000,1.510000,4,-22.021263
661598.415227,1509920.919676,0.490000,1.510000,4,-22.043419
661598.415227,1509920.919676,0.490000,1.510000,4,-22.062030
661598.415227,1509920.919676,0.490000,1.510000,4,-22.077663
661598.415227,1509920.919676,0.490000,1.510000,4,-22.090795
661598.415227,1509920.919676,0.490000,1.510000,4,-22.101826
661598.415227,1509920.919676,0.490000,1.510000,4,-22.111092
661598.415227,1509920.919676,0.490000,1.510000,4,-22.118875
661598.415227,1509920.919676,0.490000,1.510000,4,-22.125413
661598.415227,1509920.919676,0.490000,1.510000,4,-22.130905
661598.415227,1509920.919676,0.490000,1.510000,4,-22.135518
661598.415227,1509920.919676,0.490000,1.510000,4,-22.139393
661598.415227,1509920.919676,0.490000,1.510000,4,-22.142648
661598.415227,1509920.919676,0.490000,1.510000,4,-22.145382
661598.757808,1509920.921786,0.510000,-3.710000,4,-22.103735
661598.757808,1509920.921786,0.510000,-3.710000,4,-22.068752
661598.757808,1509920.921786,0.510000,-3.710000,4,-22.039365
661598.757808,1509920.921786,0.510000,-3.710000,4,-22.014681
661598.757808,1509920.921786,0.510000,-3.710000,4,-21.993946
661598.757808,1509920.921786,0.510000,-3.710000,4,-21.976529
