x,y,speed,heading,fix_quality,steering_angle
661609.797628,1509920.160034,0.000000,0.000000,4,-1.020376
661609.797628,1509920.160034,0.000000,0.000000,4,-1.877492
661609.797628,1509920.160034,0.000000,0.000000,4,-2.597469
661609.797628,1509920.160034,0.000000,0.000000,4,-3.202250
661609.797628,1509920.160034,0.000000,0.000000,4,-3.710266
661609.797628,1509920.160034,0.000000,0.000000,4,-4.136999
661609.797628,1509920.160034,0.000000,0.000000,4,-4.495455
661609.797628,1509920.160034,0.000000,0.000000,4,-4.796558
661609.797628,1509920.160034,0.000000,0.000000,4,-5.049485
661609.797628,1509920.160034,0.000000,0.000000,4,-5.261943
661609.797628,1509920.160034,0.000000,0.000000,4,-5.440408
661609.797628,1509920.160034,0.000000,0.000000,4,-5.590319
661609.797628,1509920.160034,0.000000,0.000000,4,-5.716244
661609.797628,1509920.160034,0.000000,0.000000,4,-5.822021
661609.797628,1509920.160034,0.000000,0.000000,4,-5.910873
661609.797628,1509920.160034,0.000000,0.000000,4,-5.985509
661609.797628,1509920.160034,0.000000,0.000000,4,-6.048204
661609.797628,1509920.160034,0.000000,0.000000,4,-6.100867
661609.797628,1509920.160034,0.000000,0.000000,4,-6.145104
661609.797628,1509920.160034,0.000000,0.000000,4,-6.182263
661609.797514,1509920.178472,0.000000,0.000000,4,-6.248573
661609.797514,1509920.178472,0.000000,0.000000,4,-6.304273
661609.797514,1509920.178472,0.000000,0.000000,4,-6.351062
661609.797514,1509920.178472,0.000000,0.000000,4,-6.390364
661609.797514,1509920.178472,0.000000,0.000000,4,-6.423377
661609.797514,1509920.178472,0.000000,0.000000,4,-6.451109
661609.797514,1509920.178472,0.000000,0.000000,4,-6.474403
661609.797514,1509920.178472,0.000000,0.000000,4,-6.493971
661609.797514,1509920.178472,0.000000,0.000000,4,-6.510407
661609.797514,1509920.178472,0.000000,0.000000,4,-6.524214
661609.797514,1509920.178472,0.000000,0.000000,4,-6.535812
661609.797514,1509920.178472,0.000000,0.000000,4,-6.545554
661609.797514,1509920.178472,0.000000,0.000000,4,-6.553737
661609.797514,1509920.178472,0.000000,0.000000,4,-6.560611
661609.797514,1509920.178472,0.000000,0.000000,4,-6.566385
661609.797514,1509920.178472,0.000000,0.000000,4,-6.571236
661609.797514,1509920.178472,0.000000,0.000000,4,-6.575310
661609.797514,1509920.178472,0.000000,0.000000,4,-6.578732
661609.797514,1509920.178472,0.000000,0.000000,4,-6.581607
661609.797514,1509920.178472,0.000000,0.000000,4,-6.584022
661609.797514,1509920.178472,0.130000,0.000000,4,-6.586050
661609.797514,1509920.178472,0.130000,0.000000,4,-6.587754
661609.797514,1509920.178472,0.130000,0.000000,4,-6.589185
661609.797514,1509920.178472,0.130000,0.000000,4,-6.590388
661609.797514,1509920.178472,0.130000,0.000000,4,-6.591397
661609.797514,1509920.178472,0.130000,0.000000,4,-6.592246
661609.797514,1509920.178472,0.130000,0.000000,4,-6.592958
661609.797514,1509920.178472,0.130000,0.000000,4,-6.593557
661609.797514,1509920.178472,0.130000,0.000000,4,-6.594060
661609.797514,1509920.178472,0.130000,0.000000,4,-6.594482
661609.797514,1509920.178472,0.130000,0.000000,4,-6.594837
661609.797514,1509920.178472,0.130000,0.000000,4,-6.595135
661609.797514,1509920.178472,0.130000,0.000000,4,-6.595385
661609.797514,1509920.178472,0.130000,0.000000,4,-6.595596
661609.797514,1509920.178472,0.130000,0.000000,4,-6.595772
661609.797514,1509920.178472,0.130000,0.000000,4,-6.595921
661609.797514,1509920.178472,0.130000,0.000000,4,-6.596045
661609.797514,1509920.178472,0.130000,0.000000,4,-6.596150
661609.797514,1509920.178472,0.130000,0.000000,4,-6.596238
661609.797514,1509920.178472,0.130000,0.000000,4,-6.596312
661609.815545,1509920.178583,0.340000,4.710000,4,-7.227785
661609.815545,1509920.178583,0.340000,4.710000,4,-7.758223
661609.815545,1509920.178583,0.340000,4.710000,4,-8.203791
661609.815545,1509920.178583,0.340000,4.710000,4,-8.578067
661609.815545,1509920.178583,0.340000,4.710000,4,-8.892460
661609.815545,1509920.178583,0.340000,4.710000,4,-9.156550
661609.815545,1509920.178583,0.340000,4.710000,4,-9.378385
661609.815545,1509920.178583,0.340000,4.710000,4,-9.564727
661609.815545,1509920.178583,0.340000,4.710000,4,-9.721254
661609.815545,1509920.178583,0.340000,4.710000,4,-9.852737
661609.815545,1509920.178583,0.340000,4.710000,4,-9.963182
661609.815545,1509920.178583,0.340000,4.710000,4,-10.055956
661609.815545,1509920.178583,0.340000,4.710000,4,-10.133887
661609.815545,1509920.178583,0.340000,4.710000,4,-10.199348
661609.815545,1509920.178583,0.340000,4.710000,4,-10.254336
661609.815545,1509920.178583,0.340000,4.710000,4,-10.300525
661609.815545,1509920.178583,0.340000,4.710000,4,-10.339325
661609.815545,1509920.178583,0.340000,4.710000,4,-10.371916
661609.815545,1509920.178583,0.340000,4.710000,4,-10.399293
661609.815545,1509920.178583,0.340000,4.710000,4,-10.422289
661609.995851,1509920.179693,0.460000,0.080000,4,-9.937320
661609.995851,1509920.179693,0.460000,0.080000,4,-9.529945
661609.995851,1509920.179693,0.460000,0.080000,4,-9.187751
661609.995851,1509920.179693,0.460000,0.080000,4,-8.900307
661609.995851,1509920.179693,0.460000,0.080000,4,-8.658855
661609.995851,1509920.179693,0.460000,0.080000,4,-8.456035
661609.995851,1509920.179693,0.460000,0.080000,4,-8.285666
661609.995851,1509920.179693,0.460000,0.080000,4,-8.142556
661609.995851,1509920.179693,0.460000,0.080000,4,-8.022344
661609.995851,1509920.179693,0.460000,0.080000,4,-7.921366
661609.995851,1509920.179693,0.460000,0.080000,4,-7.836544
661609.995851,1509920.179693,0.460000,0.080000,4,-7.765294
661609.995851,1509920.179693,0.460000,0.080000,4,-7.705443
661609.995851,1509920.179693,0.460000,0.080000,4,-7.655169
661609.995851,1509920.179693,0.460000,0.080000,4,-7.612939
661609.995851,1509920.179693,0.460000,0.080000,4,-7.577465
661609.995851,1509920.179693,0.460000,0.080000,4,-7.547668
661609.995851,1509920.179693,0.460000,0.080000,4,-7.522638
661609.995851,1509920.179693,0.460000,0.080000,4,-7.501612
661609.995851,1509920.179693,0.460000,0.080000,4,-7.483951
661610.320288,1509920.200129,0.480000,1.310000,4,-7.933871
661610.320288,1509920.200129,0.480000,1.310000,4,-8.311804
661610.320288,1509920.200129,0.480000,1.310000,4,-8.629268
661610.320288,1509920.200129,0.480000,1.310000,4,-8.895937
661610.320288,1509920.200129,0.480000,1.310000,4,-9.119939
661610.320288,1509920.200129,0.480000,1.310000,4,-9.308101
661610.320288,1509920.200129,0.480000,1.310000,4,-9.466157
661610.320288,1509920.200129,0.480000,1.310000,4,-9.598924
661610.320288,1509920.200129,0.480000,1.310000,4,-9.710449
661610.320288,1509920.200129,0.480000,1.310000,4,-9.804129
661610.320288,1509920.200129,0.480000,1.310000,4,-9.882821
