x,y
661379.154743373,1509665.834205918
661378.901062558,1509664.862793367
661378.698026454,1509663.865878568
661378.531323819,1509662.824935272
661378.404492799,1509661.751048191
661378.303040804,1509660.655191199
661378.234021455,1509659.563221234
661378.193828609,1509658.475116129
661378.175249972,1509657.390831547
661378.178330885,1509656.302992458
661378.199465200,1509655.211576693
661378.224205658,1509654.120183098
661378.245294629,1509653.036142365
661378.266292925,1509651.966851693
661378.294458180,1509650.904980387
661378.315388466,1509649.846752261
661378.340038238,1509648.770108728
661378.372058979,1509647.667696927
661378.397048761,1509646.535740672
661378.407772617,1509645.377883141
661378.415026324,1509644.197878355
661378.422348030,1509643.006811024
661378.422502767,1509641.808324329
661378.433521284,1509640.602529108
661378.444607800,1509639.385671343
661378.455739642,1509638.161438549
661378.463333332,1509636.926121044
661378.467388868,1509635.679718828
661378.460603278,1509634.436937624
661378.450143527,1509633.205196800
661378.446873402,1509631.977187826
661378.439951784,1509630.756531716
661378.436613643,1509629.539585290
661378.433275494,1509628.322638864
661378.433498155,1509627.113089637
661378.444380595,1509625.929419517
661378.473180454,1509624.764297810
661378.505586462,1509623.599198271
661378.545272773,1509622.423080523
661378.595913544,1509621.224904188
661378.636053197,1509619.975036144
661378.665646399,1509618.680851419
661378.699004422,1509617.360876259
661378.725263470,1509616.022419190
661378.740749387,1509614.676520591
661378.748932320,1509613.345327718
661378.742645294,1509612.021421207
661378.721956311,1509610.693738513
661378.708524962,1509609.358725126
661378.684320475,1509608.016270209
661378.660274648,1509606.648002689
661378.636410147,1509605.250235052
661378.601772502,1509603.845025886
661378.552664891,1509602.447103083
661378.503466597,1509601.063930342
661378.454132289,1509599.702882691
661378.401010474,1509598.371312994
661378.362063932,1509597.080394630
661378.329717681,1509595.889083502
661378.304017059,1509594.790004580
661378.284939399,1509593.786845378
661378.276090860,1509592.879628063
661378.270463134,1509592.035120668
661378.272115719,1509591.179595063
661378.284768108,1509590.294635840
661378.301230654,1509589.376511152
661378.325154849,1509588.417868135
661378.352911867,1509587.422372137
661378.388085201,1509586.393732840
661378.412553394,1509585.346589469
661378.447953393,1509584.281075025
661378.476254407,1509583.197078675
661378.519025387,1509582.105795962
661378.543856238,1509580.999652356
661378.576012738,1509579.875115511
661378.590251775,1509578.732030259
661378.611748459,1509577.581614312
661378.622539998,1509576.412694291
661378.637028357,1509575.229046379
661378.647955886,1509574.038001271
661378.658906075,1509572.843268650
661378.662711939,1509571.637429152
661378.659305478,1509570.431545322
661378.655921677,1509569.221973978
661378.656121363,1509568.016112316
661378.656343709,1509566.806563141
661378.660172209,1509565.597036133
661378.664068704,1509564.376446582
661378.667965191,1509563.155857033
661378.675535834,1509561.924227106
661378.668681824,1509560.692508515
661378.658289646,1509559.449705214
661378.655041785,1509558.218008791
661378.666173231,1509556.993776065
661378.695380817,1509555.762279141
661378.767907674,1509554.523673187
661378.894436297,1509553.300149789
661379.056981217,1509552.084223085
661379.273391917,1509550.905504025
661379.518311932,1509549.782275019
661379.802650420,1509548.699852506
661380.112096071,1509547.639710250
661380.464725032,1509546.594584052
661380.849945489,1509545.527532269
661381.278575932,1509544.438621400
661381.739639209,1509543.353597549
661382.222180832,1509542.294519306
661382.733413134,1509541.261431007
661383.276896948,1509540.261729849
661383.859935273,1509539.280710109
661384.493391940,1509538.311063261
661385.184547280,1509537.341771097
661385.915370478,1509536.372722784
661386.678581206,1509535.414936535
661387.470459967,1509534.486827760
661388.283885104,1509533.573602068
661389.126068948,1509532.675303795
661389.982609506,1509531.788156758
661390.857067609,1509530.919558157
661391.745882427,1509530.062110795
661392.652592122,1509529.226899386
661393.559120531,1509528.421188123
661394.469119153,1509527.637624142
661395.386239488,1509526.868854583
661396.296056870,1509526.114790773
661397.191381636,1509525.371700860
661398.090244613,1509524.639695687
661398.999858135,1509523.918819592
661399.916616037,1509523.209050406
661400.844147150,1509522.506722784
661401.789663809,1509521.811881065
661402.746021691,1509521.113418368
661403.709546620,1509520.422375069
661404.665927275,1509519.720224917
661405.643967657,1509519.014520297
661406.640084270,1509518.301551528
661407.650693621,1509517.577608927
661408.679288524,1509516.861152238
661409.722126792,1509516.174284384
661410.768435262,1509515.509563826
661411.821774760,1509514.874387767
661412.878516446,1509514.272421552
661413.942447852,1509513.674187232
661415.017220483,1509513.072331946
661416.102834343,1509512.466855696
661417.192099767,1509511.854026627
661418.292161078,1509511.244951629
661419.413655412,1509510.669197337
661420.567333254,1509510.137892815
661421.753081243,1509509.669475644
661422.978043696,1509509.275052717
661424.235008269,1509508.954579695
661425.513224464,1509508.696927521
661426.809154121,1509508.491011482
661428.108440575,1509508.325680345
661429.403871482,1509508.200889766
661430.709916860,1509508.109353406
661432.022993205,1509508.047361580
661433.335888176,1509508.014869942
661434.652253287,1509508.004525634
661435.943284527,1509508.008776234
661437.169336706,1509508.023690313
661438.334015991,1509508.049290037
