x,y
661378.627300813,1509576.023752455
661378.638911250,1509575.023820625
661378.648085471,1509574.023862709
661378.657250475,1509573.023904709
661378.661492110,1509572.023916377
661378.660978860,1509571.023920750
661378.658165151,1509570.023924708
661378.655954473,1509569.023927849
661378.656120069,1509568.023927863
661378.656303752,1509567.023927880
661378.658820962,1509566.023931804
661378.662001717,1509565.023936863
661378.665194004,1509564.023941958
661378.668776011,1509563.023948873
661378.674922743,1509562.023967765
661378.670526347,1509561.023983587
661378.663091934,1509560.024012089
661378.657167193,1509559.024033647
661378.656805423,1509558.024044467
661378.665897637,1509557.024085802
661378.689165016,1509556.024359666
661378.738511668,1509555.025695054
661378.819043618,1509554.029192000
661378.929823371,1509553.035434733
661379.064263420,1509552.044559279
661379.244843326,1509551.060998962
661379.452755013,1509550.082925959
661379.694198956,1509549.112706591
661379.963242957,1509548.149672098
661380.261956202,1509547.195552887
661380.588918871,1509546.250569984
661380.934660918,1509545.312317616
661381.302452851,1509544.382431659
661381.693541862,1509543.462078799
661382.105385022,1509542.550861754
661382.540765213,1509541.650730181
661383.003579071,1509540.764479317
661383.495439108,1509539.894011015
661384.016661345,1509539.040805867
661384.567900910,1509538.206570166
661385.148473558,1509537.392361716
661385.749260866,1509536.592978844
661386.366640875,1509535.806403987
661387.002756289,1509535.034992339
661387.656311459,1509534.278173823
661388.322500297,1509533.532413957
661389.006454053,1509532.802888591
661389.699182368,1509532.081711504
661390.402585614,1509531.370994794
661391.115735897,1509530.670018616
661391.837396304,1509529.977813214
661392.572907430,1509529.300300569
661393.319061207,1509528.634549888
661394.073527737,1509527.978252333
661394.835416373,1509527.330578117
661395.602786557,1509526.689378667
661396.372675026,1509526.051200241
661397.142168779,1509525.412545902
661397.917195397,1509524.780621417
661398.699063355,1509524.157201895
661399.487095429,1509523.541592391
661400.280789068,1509522.933298170
661401.080540276,1509522.333002095
661401.886560038,1509521.741114250
661402.694117749,1509521.151325692
661403.506403574,1509520.568069941
661404.314117331,1509519.978514756
661405.122935807,1509519.390470606
661405.934671976,1509518.806449177
661406.747812232,1509518.224381392
661407.560754051,1509517.642036478
661408.380474626,1509517.069287837
661409.210298009,1509516.511401604
661410.048885802,1509515.966694139
661410.894765763,1509515.433385054
661411.751118757,1509514.916994165
661412.618993109,1509514.420257380
661413.489828392,1509513.928689067
661414.361895412,1509513.439303384
661415.234616271,1509512.951084428
661416.107956556,1509512.463973900
661416.979491997,1509511.973641386
661417.853537430,1509511.487806000
661418.735752295,1509511.017220164
661419.629815529,1509510.569648881
661420.538122746,1509510.151345163
661421.467482308,1509509.782298475
661422.412657032,1509509.457100308
661423.371484918,1509509.174741777
661424.341714525,1509508.933070737
661425.321997796,1509508.735473400
661426.308178867,1509508.570613673
661427.297952701,1509508.428813016
661428.290574231,1509508.308135168
661429.285966414,1509508.212247717
661430.283263411,1509508.139256122
661431.281580071,1509508.082364537
661432.280675368,1509508.040984440
661433.280369274,1509508.016243929
661434.280323115,1509508.007448349
661435.280308228,1509508.006593446
661436.280279703,1509508.012875548
661437.280187154,1509508.026126812
661438.279945680,1509508.048101568
661439.279811358,1509508.064435793
661440.279681023,1509508.080580386
661441.279612336,1509508.091905788
661442.279568514,1509508.101267241
661443.279535816,1509508.109201211
661444.279505030,1509508.116652631
661445.279431898,1509508.128746422
661446.279272338,1509508.146589291
661447.278966975,1509508.170989713
661448.278524718,1509508.200581251
661449.277918775,1509508.235199767
661450.277066284,1509508.276482372
661451.276106556,1509508.320281061
661452.275055296,1509508.366104403
661453.273968154,1509508.412720901
661454.272903065,1509508.458851236
661455.271949099,1509508.502520696
661456.271196540,1509508.541261673
661457.270472462,1509508.579309408
661458.269782449,1509508.616425416
661459.269153457,1509508.651859057
661460.268288335,1509508.693446258
661461.267149757,1509508.741058389
661462.265673685,1509508.795214426
661463.263769360,1509508.856741088
661464.261408275,1509508.925350836
661465.258882571,1509508.996326814
661466.256765162,1509509.061295618
661467.255065849,1509509.119489254
661468.253672615,1509509.172257823
661469.252204830,1509509.226358600
661470.250269744,1509509.288265455
661471.247284989,1509509.365387331
661472.243329172,1509509.454204227
661473.237166506,1509509.565052557
661474.228302680,1509509.697751576
661475.216196014,1509509.852554316
661476.199569715,1509510.033533547
661477.175949820,1509510.248511355
661478.140543543,1509510.510448147
661479.087096403,1509510.831100116
661480.004152908,1509511.226771341
661480.875670040,1509511.714475653
661481.688698616,1509512.294041454
661482.433219842,1509512.959656381
661483.103440067,1509513.699962992
661483.698477273,1509514.502762222
661484.227895963,1509515.350313429
661484.688809361,1509516.237424972
661485.093718873,1509517.151672747
661485.445365241,1509518.087805660
661485.751012661,1509519.039907864
661486.001433506,1509520.007835698
661486.198538612,1509520.987957117
661486.338997607,1509521.977707862
661486.424260097,1509522.973752516
661486.465160818,1509523.972724695
661486.475710924,1509524.972582008
661486.465374655,1509525.972480980
661486.442230235,1509526.972202688
661486.413081707,1509527.971776932
661486.380167394,1509528.971225789
661486.336792667,1509529.970284663
661486.293648436,1509530.969353516
661486.253269661,1509531.968537083
661486.219411353,1509532.967953641
661486.191747227,1509533.967566107
661486.171245123,1509534.967334948
661486.162078068,1509535.967292930
661486.152945929,1509536.967251231
661486.151282088,1509537.967244603
661486.149182132,1509538.967241349
661486.144840566,1509539.967230928
661486.137960350,1509540.967205451
661486.126124224,1509541.967135402
661486.116732076,1509542.967090807
661486.102697048,1509543.966983522
661486.084259448,1509544.966812652
661486.063440498,1509545.966594087
661486.034620747,1509546.966178712
661486.005852159,1509547.965764810
661485.974368039,1509548.965265407
661485.940850583,1509549.964702801
661485.909634759,1509550.964215469
661485.883759955,1509551.963879468
661485.868474918,1509552.963730235
661485.861227659,1509553.963700808
661485.857816164,1509554.963694989
661485.859797454,1509555.963692795
661485.863693687,1509556.963684372
661485.868532308,1509557.963672665
661485.873177316,1509558.963661206
661485.872535931,1509559.963661001
661485.869859442,1509560.963656679
661485.868804293,1509561.963652374
661485.871928065,1509562.963643869
661485.882397663,1509563.963589061
661485.892944568,1509564.963533440
661485.905021076,1509565.963459470
661485.921132775,1509566.963318215
661485.945881362,1509567.963011922
661485.968115006,1509568.962764561
661485.986587383,1509569.962590748
661486.003335152,1509570.962450494
661486.020590760,1509571.962301007
661486.040395682,1509572.962104871
661486.055038287,1509573.961996258
661486.074677483,1509574.961795412
661486.094902528,1509575.961586921
661486.111281785,1509576.961452271
661486.125202678,1509577.961355370
661486.129001293,1509578.961341470
661486.126036573,1509579.961328405
661486.114171820,1509580.961232264
661486.093765577,1509581.961023470
661486.075762375,1509582.960861399
661486.054912313,1509583.960643784
661486.033934745,1509584.960423731
661486.014571728,1509585.960235046
661485.995939133,1509586.960060696
661485.975565364,1509587.959852573
661485.960786293,1509588.959743357
661485.950515981,1509589.959687756
661485.942984021,1509590.959658375
661485.937550125,1509591.959642843
661485.934258607,1509592.959637426
661485.936626354,1509593.959634455
661485.939017219,1509594.959631596
661485.940087384,1509595.959630020
661485.940165748,1509596.959629392
661485.942543055,1509597.959626566
661485.942374774,1509598.959626280
661485.941914735,1509599.959626173
661485.939174244,1509600.959618594
661485.934355795,1509601.742966652
